,trial_number,set_size,match,correct,response,response_time,probe_letter,session,session_file
67,18.0,4.0,2.0,1.0,52.0,1.9495,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
68,19.0,4.0,1.0,1.0,51.0,1.791,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
69,20.0,6.0,1.0,1.0,51.0,2.15875,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
70,21.0,4.0,2.0,1.0,52.0,2.10425,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
71,22.0,4.0,2.0,1.0,52.0,2.70875,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
72,23.0,4.0,2.0,1.0,52.0,1.2505,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
73,24.0,8.0,1.0,1.0,51.0,1.693,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
74,25.0,8.0,1.0,1.0,51.0,1.092,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
75,26.0,8.0,2.0,1.0,52.0,1.66975,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
76,27.0,6.0,1.0,1.0,51.0,0.749,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
77,28.0,6.0,2.0,1.0,52.0,1.7025,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
78,29.0,6.0,1.0,1.0,51.0,0.983,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
79,30.0,8.0,2.0,0.0,1.0,1.4685,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
80,31.0,4.0,1.0,1.0,51.0,1.5635,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
81,32.0,8.0,1.0,1.0,51.0,2.75875,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
82,33.0,8.0,1.0,1.0,51.0,1.5425,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
83,34.0,8.0,2.0,1.0,52.0,1.476,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
84,35.0,4.0,1.0,1.0,51.0,0.63625,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
85,36.0,8.0,1.0,1.0,51.0,1.6525,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
86,37.0,8.0,1.0,1.0,51.0,1.268,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
87,38.0,4.0,1.0,1.0,51.0,0.96075,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
88,39.0,4.0,1.0,1.0,51.0,0.8915,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
89,40.0,6.0,1.0,1.0,51.0,1.50325,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
90,41.0,4.0,1.0,1.0,51.0,1.084,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
91,42.0,6.0,1.0,1.0,51.0,1.2265,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
92,43.0,4.0,2.0,1.0,52.0,1.247,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
93,44.0,8.0,1.0,1.0,51.0,1.2165,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
94,45.0,8.0,1.0,0.0,2.0,4.81975,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
95,46.0,4.0,2.0,1.0,52.0,1.582,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
96,47.0,6.0,1.0,1.0,51.0,1.07075,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
97,48.0,6.0,1.0,1.0,51.0,1.47125,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
98,49.0,4.0,2.0,1.0,52.0,1.20575,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
99,50.0,4.0,2.0,1.0,52.0,1.56675,X,2,Data_Subject_08_Session_02.h5_seeg_raw.csv
100,1.0,8.0,1.0,0.0,2.0,2.65925,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
101,2.0,4.0,2.0,1.0,52.0,1.381,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
102,3.0,4.0,1.0,0.0,2.0,1.03825,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
103,4.0,4.0,2.0,1.0,52.0,1.73675,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
104,5.0,6.0,2.0,1.0,52.0,1.2815,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
105,6.0,4.0,1.0,1.0,51.0,1.02025,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
106,7.0,8.0,2.0,1.0,52.0,2.24275,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
107,8.0,6.0,2.0,1.0,52.0,1.83475,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
108,9.0,4.0,1.0,1.0,51.0,1.388,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
109,10.0,4.0,2.0,1.0,52.0,1.5325,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
110,11.0,8.0,1.0,0.0,2.0,1.1145,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
111,12.0,4.0,1.0,1.0,51.0,1.53875,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
112,13.0,4.0,1.0,1.0,51.0,2.17375,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
113,14.0,6.0,2.0,1.0,52.0,1.05875,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
114,15.0,8.0,2.0,1.0,52.0,1.26675,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
115,16.0,8.0,1.0,1.0,51.0,1.268,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
116,17.0,8.0,2.0,1.0,52.0,1.0725,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
117,18.0,6.0,1.0,1.0,51.0,1.4945,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
118,19.0,6.0,1.0,1.0,51.0,1.139,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
119,20.0,8.0,1.0,1.0,51.0,0.895,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
120,21.0,4.0,2.0,1.0,52.0,0.86125,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
121,22.0,6.0,2.0,1.0,52.0,0.99475,X,3,Data_Subject_08_Session_03.h5_seeg_raw.csv
